site,date,item,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
古亭,2021/5/25,RH,82,83,82,82,84,84,83,81,79,78,74,67,60,60,60,64,70,74,76,77,78,78,78,79
古亭,2021/5/26,RH,79,80,80,82,82,81,78,74,69,63,57,54,58,61,58,57,54,52,52,54,57,68,74,75
古亭,2021/5/27,RH,78,79,81,81,81,79,78,71,55,46,38,37,44,48,46,49,51,54,56,57,57,60,73,72
古亭,2021/5/28,RH,73,73,72,74,77,78,78,74,62,55,50,39,35,39,42,41,54,70,72,70,71,72,74,74
古亭,2021/5/29,RH,74,76,75,75,77,76,75,74,75,71,79,76,72,72,80,84,84,81,80,80,80,82,80,81
古亭,2021/5/30,RH,81,83,85,85,83,81,81,82,79,73,73,73,75,82,89,90,91,91,91,90,88,88,90,90
古亭,2021/5/31,RH,90,90,89,88,89,89,89,88,87,84,81,80,85,87,90,90,91,92,92,91,91,90,89,89
古亭,2021/6/1,RH,89,89,90,90,90,89,88,86,81,70,63,58,62,76,72,70,82,86,88,90,89,89,89,89
古亭,2021/6/2,RH,89,89,88,87,87,86,86,84,72,63,57,57,60,61,65,72,76,80,85,87,86,87,87,86
古亭,2021/6/3,RH,87,86,85,86,86,86,84,79,73,64,58,52,50,49,50,59,59,63,67,65,65,66,69,71
古亭,2021/6/4,RH,75,78,80,81,81,81,79,75,66,61,64,65,76,87,91,92,91,91,90,89,90,90,90,90
古亭,2021/6/5,RH,91,91,90,89,90,90,86,85,85,85,86,87,87,88,87,88,88,88,89,89,90,89,89,90
古亭,2021/6/6,RH,90,89,89,89,89,89,88,88,87,86,85,85,84,85,85,86,89,90,90,90,91,91,91,90
古亭,2021/6/7,RH,90,90,90,89,89,89,87,85,77,73,70,69,69,66,69,76,83,83,83,83,84,86,85,84
古亭,2021/6/8,RH,85,87,87,87,87,86,86,81,71,63,60,57,57,58,56,53,57,68,69,71,75,77,80,80
古亭,2021/6/9,RH,80,81,81,83,84,83,82,77,67,59,57,64,72,64,63,62,64,64,64,63,63,65,66,70
古亭,2021/6/10,RH,73,76,78,78,78,76,75,71,63,56,51,47,56,55,52,59,61,62,64,65,65,74,78,81
古亭,2021/6/11,RH,80,77,77,81,79,81,79,77,67,58,54,52,56,55,53,55,55,54,61,66,68,69,70,73
古亭,2021/6/12,RH,73,76,77,77,79,79,79,75,61,53,47,49,61,62,61,65,71,71,74,84,83,72,73,75
古亭,2021/6/13,RH,78,81,80,80,82,82,80,76,71,63,60,57,58,64,64,63,64,65,66,70,75,76,79,78
古亭,2021/6/14,RH,80,80,81,81,80,78,78,70,60,55,49,49,48,49,51,53,54,55,52,58,62,64,65,72
古亭,2021/6/15,RH,75,68,66,67,69,74,75,67,59,54,51,54,55,53,54,54,54,53,54,57,65,66,68,70
古亭,2021/6/16,RH,72,74,72,73,72,74,74,65,60,59,53,49,47,46,44,42,43,46,47,46,46,46,46,53
古亭,2021/6/17,RH,57,55,60,62,67,72,69,63,56,50,48,47,45,46,44,48,52,51,53,53,54,55,59,63
古亭,2021/6/18,RH,66,67,68,68,68,67,69,63,56,51,48,44,41,40,43,45,45,45,46,48,50,54,58,61
古亭,2021/6/19,RH,63,63,63,67,71,72,71,61,55,51,48,45,45,44,41,42,42,44,46,48,51,55,59,61
古亭,2021/6/20,RH,62,68,72,73,73,73,72,71,64,56,50,46,44,46,46,46,48,48,48,50,52,54,58,58
古亭,2021/6/21,RH,64,65,69,70,75,74,73,68,56,50,48,50,49,46,49,51,52,55,57,60,61,63,66,69
古亭,2021/6/22,RH,74,73,73,75,74,75,77,88,86,80,77,75,71,67,71,87,87,88,89,88,87,88,88,88
古亭,2021/6/23,RH,88,88,88,87,87,86,86,84,81,77,76,76,76,84,84,84,85,87,89,90,90,90,90,90
古亭,2021/6/24,RH,91,91,92,91,91,90,88,85,81,71,67,68,71,68,73,81,85,84,82,80,81,82,82,83
古亭,2021/6/25,RH,83,83,83,83,83,82,81,80,80,78,76,74,70,71,74,75,76,82,86,90,91,92,92,92
古亭,2021/6/26,RH,91,91,91,90,90,90,89,84,80,73,64,58,54,54,53,51,54,55,57,55,64,71,72,74
古亭,2021/6/27,RH,76,77,80,81,81,82,80,74,60,52,50,48,47,50,52,50,53,57,59,61,65,67,70,72
古亭,2021/6/28,RH,74,74,77,77,77,77,74,71,64,59,57,56,57,49,45,44,41,42,46,50,57,62,62,70
古亭,2021/6/29,RH,71,73,73,70,65,64,64,62,62,65,60,55,51,47,45,44,43,45,48,52,52,55,64,67
古亭,2021/6/30,RH,69,72,74,73,75,76,74,71,60,57,53,50,55,55,53,52,52,57,60,64,66,67,68,68
古亭,2021/7/1,RH,68,71,71,70,75,73,71,64,52,47,44,41,38,46,50,53,55,57,60,63,66,67,67,68
古亭,2021/7/2,RH,73,75,74,68,69,70,72,69,60,55,49,44,52,54,58,59,60,65,65,68,69,66,68,70
古亭,2021/7/3,RH,71,71,73,74,75,74,73,73,65,57,51,45,44,46,52,58,62,68,65,64,67,69,71,72
古亭,2021/7/4,RH,73,72,73,73,74,74,75,71,65,60,54,58,60,60,61,62,58,56,61,68,74,74,74,70
